hashed_email,total_purchase_amount,last_purchase_date,store_visits_12months,product_category_interest
4cdde47d052101fe3de4e3659acc6dea,High,Over_3years,Low,Luxury
330fada60beae93da050c462857ac8c6,Low,1-3years,Low,Luxury
ecc26c2cb987b9169323fdada8701f81,Low,Over_3years,Low,Luxury
dc4cb96977877fcb76a75eb4a3cf4fee,High,Over_3years,Low,Luxury
149d24733a97d66d3899346fb5d68406,Medium,Over_3years,High,Sports
ff7659001926c1958ae2df650a2d1f7d,Low,Within_1year,Low,Classic
b85434cdf07a72bbae212fa0a5252839,Low,Over_3years,High,Sports
f8c854b9dc34b56114d83d23ce7fa026,Low,1-3years,High,Classic
6beaa4181d7bd99aee3c96f843029982,High,1-3years,Low,Sports
06590acf538c78a3a8f312299dc4365d,Low,1-3years,High,Classic
d15e3cda978e8221c5e2f9b0a77da2b7,High,1-3years,High,Classic
88d828767fefbbb1af97ad6e203c4d09,High,Over_3years,High,Sports
864f0d99c4e479d31817fa99e4b67b33,High,1-3years,Low,Sports
2f0baa07beb7a5e074965c13c269a6a4,Low,1-3years,Low,Luxury
563012f2f91f05b45c44e86e026e8ac8,High,Over_3years,High,Sports
15e1e75914a60a94ecc46c5a8f4cd2e8,Medium,Over_3years,High,Classic
49576e7d22ceb444cb3426eec17d490d,Low,Within_1year,Low,Classic
89db88cb48d8d61fcac561a61ac9bf6e,Low,Over_3years,High,Classic
957a7c4826a91d3bec7eb454cbce3d48,Low,Over_3years,High,Classic
1754a54b8c97e4ef6765fc054e0ad08d,Low,Within_1year,High,Sports
baed97c234dd7887ded619e467e592d3,Low,Within_1year,High,Luxury
9c04bcf7209da3d192b86876fa3bec02,High,Over_3years,High,Classic
a802e2a6ca4cb10efa6538174f10fcfa,High,Within_1year,High,Classic
c1652aae4765a783c627fa65c3402384,Low,1-3years,Low,Classic
8ada691f0ef067ab0253e43469d04308,High,Over_3years,Low,Sports
d1e8d445aa05791c7d43dca93c6bece8,Low,Within_1year,Low,Classic
6845f9f69746e8471b71117a524f4a3d,High,Within_1year,High,Luxury
5a6ff93b61a32834f72c7cca464cd07d,High,Within_1year,Low,Luxury
a7925293554d726be7fa3b2d520d878d,High,Within_1year,High,Classic
421cef8791f3bbcae0da1f2f99d26aa1,High,Over_3years,High,Classic
acb5dcf7b3155a014b58aeb57b6aee0e,Medium,Within_1year,Low,Sports
48280031cf3734a77eef6aeec4c77867,Low,Within_1year,Low,Classic
d08977ba43d60e38eba2c05b8175afb5,Medium,Within_1year,High,Sports
ccf6eec6083185e5a2f4155227830097,High,1-3years,Low,Luxury
f16db5dd04fce1db868c5410ca20b790,Medium,1-3years,Low,Sports
e8ba321e5f27463b1919d07bf7570830,Low,Over_3years,High,Sports
e48c4b0b8c15534a008f6d8db92e947d,Low,Over_3years,High,Classic
56bdd3ea89aa6fb2705a8b09127c6674,High,1-3years,Low,Luxury
ee1f507b1985db240917c35b1f5a45d3,Medium,1-3years,High,Sports
c29e2c8fd857d9114b649c9f0d99ad05,Medium,Within_1year,Low,Luxury
6202b9ca08770afe5707cdabc0b6c3e3,Medium,Within_1year,Low,Sports
b37973852a8d693335f0c6b2fb5e3188,Low,1-3years,High,Luxury
b11c7982d8c5a6ba6bdf6d0c53fd2e1b,Low,Over_3years,High,Sports
4b947811a695327e8229ff7c2b053036,Medium,1-3years,Low,Luxury
31151e901971ba89c0a742917628a514,Low,Over_3years,High,Sports
f56df9cb205286aa49b7c1c83e72e21c,Low,1-3years,Low,Luxury
4f1ea621d1750767ed70dd8fde790445,Medium,Within_1year,High,Sports
8000b1bd03d62a2c364d745dab186be3,Low,Over_3years,High,Classic
9fa7d9f07fed098923d17a21921c72e6,Medium,Within_1year,Low,Luxury
e01d648b3dc52657209a3302135d6749,Medium,1-3years,High,Classic
5bac70be70f3dbc6bab5df63ba4ca4e1,High,Over_3years,Low,Classic
ce0a1f3adf55d6a370c47b2fc284af68,Medium,Over_3years,High,Sports
2420b2a8ea555595a7f3bc5b0fee9919,Low,Over_3years,Low,Classic
e43bbccd54ced9cfcacf817a918118e4,High,Within_1year,Low,Luxury
53b2f4d0219d51a780410f6221f7de5c,Medium,1-3years,High,Sports
ae929eea02627b75d642aa8da1914ed2,High,Within_1year,Low,Sports
c977399d84f9585ebbabb08621c5113b,Low,Over_3years,High,Luxury
47368a3442c6bf5a8f5c63d5292b6d5d,Medium,Within_1year,Low,Luxury
311e39c7e923f17d3443ee29d7f8ee73,Low,Over_3years,Low,Classic
b92eb365a3961faadde84b599dc7bde1,High,Within_1year,Low,Classic
b3f6f0519c8b9e59b5ded68dabcecd1c,Medium,1-3years,High,Sports
aa633a5a8240c18120ce68ac4f2db722,High,Within_1year,High,Luxury
0ccea39b34e60257d22acb8b32db839a,High,Within_1year,Low,Luxury
0ef1d39d888cfd82f084d4862ac0c1e5,Medium,Within_1year,High,Sports
46386b62afb84d74bab38ac34fac29c6,High,Within_1year,High,Classic
dfb5f6038cb0cc1258e1e0955d48412b,Low,1-3years,Low,Luxury
fc7c0b4a07b9249b98453bf309246985,High,Over_3years,Low,Classic
9552bb012b22cc6580bdac4d9f8e7906,Low,Over_3years,Low,Classic
530f57b9004fc1c57b523d3d67bb59fe,Low,Over_3years,High,Sports
34c04ccdec802b0a2b58e047125530d5,High,1-3years,Low,Luxury
47be51bd262609f3ef19e53ce57228ca,Low,1-3years,Low,Sports
6abab991c024271c444dc5cb131e5d90,Medium,Within_1year,High,Sports
a2b677e132c4d692e3328cea5e2a3990,Low,1-3years,Low,Classic
d082d24732ce36ad7cae3fcaeebdc61d,Low,Over_3years,High,Luxury
8621821027c16f1fcbc2ffee98219a05,Low,1-3years,Low,Sports
5813173e5103022997f103e40b0ac016,Medium,Over_3years,High,Luxury
2ba3694ca1819dfc280bf3e2ac35d61c,Medium,1-3years,Low,Sports
e05ad0558eaf17de9e02c4f9a1436439,Medium,1-3years,Low,Luxury
90e7197f0909f7cbefd0dbed527581ba,High,Over_3years,Low,Sports
e2721573ca74b83236f8f92504c10c57,Medium,Over_3years,High,Classic
3ad870104773f27d7f40e52403e49fc3,Low,1-3years,High,Classic
b7039f880207461f9a891be546406346,Medium,1-3years,Low,Sports
